genmodel_id,year,entry_price
7_5,2014.0,23730.0
7_5,2015.0,24450.0
7_5,2016.0,24450.0
7_5,2017.0,26295.0
7_5,2018.0,27595.0
7_9,2007.0,25975.0
7_9,2008.0,24480.0
7_9,2009.0,23505.0
7_9,2010.0,24020.0
7_9,2011.0,24720.0
7_9,2012.0,25245.0
7_9,2013.0,25245.0
7_9,2014.0,26245.0
7_9,2015.0,26595.0
7_9,2016.0,26595.0
7_9,2017.0,29135.0
7_9,2018.0,31320.0
10_1,1998.0,145000.0
10_1,1999.0,145000.0
10_1,2000.0,145000.0
10_1,2001.0,145000.0
10_1,2002.0,149000.0
10_1,2003.0,151500.0
10_1,2004.0,159802.0
10_1,2005.0,159802.0
10_1,2006.0,160000.0
10_1,2007.0,166000.0
10_1,2008.0,168500.0
10_1,2009.0,164900.0
10_1,2010.0,174400.0
10_3,2015.0,160200.0
10_3,2016.0,135800.0
10_3,2017.0,135800.0
10_3,2018.0,135800.0
10_4,2007.0,230000.0
10_4,2008.0,230000.0
10_4,2009.0,225100.0
10_4,2010.0,241539.0
10_5,2003.0,110000.0
10_5,2004.0,110000.0
10_5,2005.0,113370.0
10_5,2006.0,115620.0
10_5,2007.0,117500.0
10_5,2008.0,120500.0
10_5,2009.0,117900.0
10_5,2010.0,123800.0
10_5,2011.0,123800.0
10_5,2012.0,123850.0
10_5,2013.0,125000.0
10_5,2014.0,130000.0
10_5,2015.0,136500.0
10_5,2016.0,140300.0
10_5,2017.0,140300.0
10_5,2018.0,140300.0
10_6,2012.0,140900.0
10_6,2013.0,136000.0
10_6,2014.0,136000.0
10_6,2015.0,142800.0
10_6,2016.0,132800.0
10_6,2017.0,132800.0
10_6,2018.0,132800.0
10_6,2019.0,132800.0
10_6,2020.0,132800.0
10_7,2010.0,220000.0
10_7,2011.0,220000.0
10_7,2012.0,224700.0
10_7,2013.0,225900.0
10_7,2014.0,228200.0
10_7,2015.0,229360.0
10_7,2016.0,229360.0
10_7,2017.0,229360.0
10_7,2018.0,229360.0
10_7,2019.0,229360.0
10_7,2020.0,238700.0
10_7,2021.0,238700.0
8_1,2004.0,15507.0
8_1,2005.0,15507.0
8_1,2006.0,15807.0
8_1,2007.0,15807.0
8_1,2008.0,15955.0
8_1,2009.0,16235.0
8_1,2010.0,16605.0
8_1,2011.0,17430.0
8_1,2012.0,17125.0
8_1,2013.0,17455.0
8_1,2014.0,17720.0
8_1,2015.0,17720.0
8_1,2016.0,20190.0
8_1,2017.0,21205.0
8_1,2018.0,21205.0
8_1,2019.0,22790.0
8_11,2004.0,45057.0
8_11,2005.0,45057.0
8_11,2006.0,46082.0
8_11,2007.0,46822.0
8_11,2008.0,47720.0
8_11,2009.0,50720.0
8_11,2010.0,50720.0
8_11,2011.0,55050.0
8_11,2012.0,59195.0
8_11,2013.0,59490.0
8_11,2014.0,60230.0
8_11,2015.0,59025.0
8_11,2016.0,59025.0
8_11,2017.0,46555.0
8_11,2018.0,43525.0
8_11,2019.0,43525.0
8_11,2020.0,43645.0
8_11,2021.0,43645.0
8_14,1998.0,36300.0
8_14,1999.0,37370.0
8_14,2000.0,37370.0
8_14,2001.0,37370.0
8_14,2002.0,38495.0
8_14,2003.0,44370.0
8_14,2004.0,44627.0
8_14,2005.0,45747.0
